trial,Model,h1,h3,h6,h12
184,GNAR,1.1,0.057,-2.1,0.371
184,GNARX_wb,8.543,2.629,1.329,2.071
185,GNAR,1.443,1.186,-0.271,0.8
185,GNARX_wb,8.386,2.529,1.343,2.057
186,GNAR,0.929,0.414,-1.343,0.414
186,GNARX_wb,8.443,2.614,1.557,2.086
187,GNAR,0.543,0.129,-1.686,0.871
187,GNARX_wb,8.414,2.471,1.114,1.929
188,GNAR,0.943,0.329,-1.4,0.671
188,GNARX_wb,8.486,2.571,1.343,2.0
189,GNAR,1.443,0.471,-1.157,0.771
189,GNARX_wb,8.543,2.629,1.443,2.114
190,GNAR,0.357,-0.043,-1.386,0.6
190,GNARX_wb,8.557,2.743,1.571,2.157
191,GNAR,0.557,0.857,-0.143,1.3
191,GNARX_wb,8.486,2.8,1.7,2.229
192,GNAR,0.629,-0.314,-2.443,0.286
192,GNARX_wb,8.586,2.586,1.3,1.971
193,GNAR,1.786,0.943,-0.729,1.371
193,GNARX_wb,8.671,2.786,1.457,2.071
194,GNAR,1.471,1.171,-0.214,0.986
194,GNARX_wb,8.457,2.8,1.743,1.957
195,GNAR,1.029,-0.014,-2.086,0.329
195,GNARX_wb,8.686,2.5,0.886,1.714
196,GNAR,1.571,0.471,-1.671,0.657
196,GNARX_wb,8.757,2.671,1.329,1.986
197,GNAR,1.243,0.571,-0.957,0.757
197,GNARX_wb,8.529,2.743,1.743,2.157
198,GNAR,1.429,0.857,-0.671,1.157
198,GNARX_wb,8.5,2.743,1.471,2.0
199,GNAR,1.014,1.371,-0.3,2.086
199,GNARX_wb,8.986,2.857,1.4,2.114
