Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Tanganyika,GNARX_wb,1,0.0733,0.048,60,16.5,15.6,0.162
Lake Tanganyika,GNARX_wb,3,0.1559,0.1174,58,23.1,33.3,0.397
Lake Tanganyika,GNARX_wb,6,0.2644,0.2102,55,22.6,56.4,0.71
Lake Tanganyika,GNARX_wb,12,0.4326,0.3617,49,4.9,92.3,1.222
Lake Tanganyika,GNARX_wb_refit,1,0.0734,0.0484,60,16.4,15.7,0.164
Lake Tanganyika,GNARX_wb_refit,3,0.1559,0.1186,58,23.1,33.3,0.401
Lake Tanganyika,GNARX_wb_refit,6,0.2639,0.2121,55,22.8,56.3,0.717
Lake Tanganyika,GNARX_wb_refit,12,0.43,0.3582,49,5.4,91.8,1.211
Lake Tanganyika,GNARX_wb_dmi,1,0.0719,0.0471,60,18.1,15.3,0.159
Lake Tanganyika,GNARX_wb_dmi,3,0.1411,0.1095,58,30.4,30.1,0.37
Lake Tanganyika,GNARX_wb_dmi,6,0.2199,0.1838,55,35.7,46.9,0.621
Lake Tanganyika,GNARX_wb_dmi,12,0.3198,0.2871,49,29.7,68.2,0.97
Lake Tanganyika,GNARX_wb_dmi_refit,1,0.072,0.0475,60,18.0,15.4,0.161
Lake Tanganyika,GNARX_wb_dmi_refit,3,0.1416,0.1103,58,30.1,30.2,0.373
Lake Tanganyika,GNARX_wb_dmi_refit,6,0.2208,0.1851,55,35.4,47.1,0.626
Lake Tanganyika,GNARX_wb_dmi_refit,12,0.32,0.2851,49,29.6,68.3,0.964
Lake Turkana,RandomWalk,1,0.1204,0.086,60,-20.8,10.7,0.129
Lake Turkana,RandomWalk,3,0.2748,0.2148,58,-12.0,24.4,0.322
Lake Turkana,RandomWalk,6,0.449,0.3703,55,-8.6,39.8,0.555
Lake Turkana,RandomWalk,12,0.8021,0.6708,49,-18.0,71.1,1.005
Lake Turkana,SARIMA,1,0.0997,0.0722,60,0.0,8.8,0.108
Lake Turkana,SARIMA,3,0.2454,0.1988,58,0.0,21.8,0.298
Lake Turkana,SARIMA,6,0.4134,0.3584,55,0.0,36.6,0.537
Lake Turkana,SARIMA,12,0.68,0.615,49,0.0,60.3,0.922
Lake Turkana,GNAR,1,0.1137,0.0863,60,-14.0,10.1,0.129
Lake Turkana,GNAR,3,0.3104,0.2601,58,-26.5,27.5,0.39
Lake Turkana,GNAR,6,0.5324,0.442,55,-28.8,47.2,0.662
Lake Turkana,GNAR,12,0.6345,0.503,49,6.7,56.2,0.754
Lake Turkana,GNAR_refit,1,0.1137,0.0863,60,-14.0,10.1,0.129
Lake Turkana,GNAR_refit,3,0.311,0.2606,58,-26.7,27.6,0.39
Lake Turkana,GNAR_refit,6,0.5323,0.4418,55,-28.8,47.2,0.662
Lake Turkana,GNAR_refit,12,0.6274,0.494,49,7.7,55.6,0.74
Lake Turkana,GNARX_wb,1,0.111,0.0847,60,-11.3,9.8,0.127
Lake Turkana,GNARX_wb,3,0.3109,0.2607,58,-26.7,27.6,0.391
Lake Turkana,GNARX_wb,6,0.5314,0.4383,55,-28.5,47.1,0.657
Lake Turkana,GNARX_wb,12,0.6521,0.5252,49,4.1,57.8,0.787
Lake Turkana,GNARX_wb_refit,1,0.1111,0.085,60,-11.4,9.8,0.127
Lake Turkana,GNARX_wb_refit,3,0.3115,0.2614,58,-26.9,27.6,0.392
Lake Turkana,GNARX_wb_refit,6,0.5315,0.4386,55,-28.6,47.1,0.657
Lake Turkana,GNARX_wb_refit,12,0.6439,0.5154,49,5.3,57.1,0.772
Lake Turkana,GNARX_wb_dmi,1,0.1071,0.0827,60,-7.4,9.5,0.124
Lake Turkana,GNARX_wb_dmi,3,0.293,0.2446,58,-19.4,26.0,0.367
Lake Turkana,GNARX_wb_dmi,6,0.4796,0.3953,55,-16.0,42.5,0.592
Lake Turkana,GNARX_wb_dmi,12,0.486,0.3977,49,28.5,43.1,0.596
Lake Turkana,GNARX_wb_dmi_refit,1,0.1074,0.0829,60,-7.7,9.5,0.124
Lake Turkana,GNARX_wb_dmi_refit,3,0.2946,0.2455,58,-20.0,26.1,0.368
Lake Turkana,GNARX_wb_dmi_refit,6,0.4835,0.3997,55,-17.0,42.9,0.599
Lake Turkana,GNARX_wb_dmi_refit,12,0.4867,0.3938,49,28.4,43.1,0.59
Lake Victoria,RandomWalk,1,0.1099,0.0894,60,-75.6,19.9,0.282
Lake Victoria,RandomWalk,3,0.2405,0.1921,58,-72.4,43.6,0.607
Lake Victoria,RandomWalk,6,0.3206,0.2448,55,-41.5,58.2,0.773
Lake Victoria,RandomWalk,12,0.3363,0.29,49,1.3,61.0,0.916
Lake Victoria,SARIMA,1,0.0626,0.0503,60,0.0,11.4,0.159
Lake Victoria,SARIMA,3,0.1395,0.1096,58,0.0,25.3,0.346
Lake Victoria,SARIMA,6,0.2266,0.1745,55,0.0,41.1,0.551
Lake Victoria,SARIMA,12,0.3407,0.2929,49,0.0,61.8,0.925
Lake Victoria,GNAR,1,0.0589,0.0465,60,5.9,10.7,0.147
Lake Victoria,GNAR,3,0.1405,0.1095,58,-0.7,25.5,0.346
Lake Victoria,GNAR,6,0.2344,0.1803,55,-3.4,42.5,0.569
Lake Victoria,GNAR,12,0.3487,0.3035,49,-2.3,63.3,0.959
