Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Turkana,VARX_oracle,3,0.3295,0.2825,-34.3,29.2,0.423
Lake Turkana,VARX_oracle,6,0.6109,0.5018,-47.8,54.2,0.752
Lake Turkana,VARX_oracle,12,1.0099,0.9103,-48.5,89.5,1.364
Lake Victoria,RandomWalk,1,0.1099,0.0894,-75.6,19.9,0.282
Lake Victoria,RandomWalk,3,0.2405,0.1921,-72.4,43.6,0.607
Lake Victoria,RandomWalk,6,0.3206,0.2448,-41.5,58.2,0.773
Lake Victoria,RandomWalk,12,0.3363,0.29,1.3,61.0,0.916
Lake Victoria,SARIMA,1,0.0626,0.0503,0.0,11.4,0.159
Lake Victoria,SARIMA,3,0.1395,0.1096,0.0,25.3,0.346
Lake Victoria,SARIMA,6,0.2266,0.1745,0.0,41.1,0.551
Lake Victoria,SARIMA,12,0.3407,0.2929,0.0,61.8,0.925
Lake Victoria,VAR,1,0.0596,0.0485,4.8,10.8,0.153
Lake Victoria,VAR,3,0.1305,0.1,6.5,23.7,0.316
Lake Victoria,VAR,6,0.2096,0.1564,7.5,38.0,0.494
Lake Victoria,VAR,12,0.3343,0.2841,1.9,60.7,0.897
Lake Victoria,VARX_orig,1,0.076,0.0609,-21.4,13.8,0.192
Lake Victoria,VARX_orig,3,0.2006,0.1514,-43.8,36.4,0.478
Lake Victoria,VARX_orig,6,0.3905,0.3098,-72.3,70.9,0.978
Lake Victoria,VARX_orig,12,0.7429,0.5676,-118.1,134.8,1.793
Lake Victoria,VARX_zero,1,0.0497,0.0396,20.6,9.0,0.125
Lake Victoria,VARX_zero,3,0.1181,0.0966,15.3,21.4,0.305
Lake Victoria,VARX_zero,6,0.1963,0.1582,13.4,35.6,0.5
Lake Victoria,VARX_zero,12,0.3142,0.2779,7.8,57.0,0.878
Lake Victoria,VARX_dmionly,1,0.0587,0.047,6.2,10.7,0.148
Lake Victoria,VARX_dmionly,3,0.1248,0.102,10.5,22.6,0.322
Lake Victoria,VARX_dmionly,6,0.2177,0.1741,3.9,39.5,0.55
Lake Victoria,VARX_dmionly,12,0.4381,0.3693,-28.6,79.5,1.166
Lake Victoria,VARX_oracle,1,0.0497,0.0396,20.6,9.0,0.125
Lake Victoria,VARX_oracle,3,0.0854,0.0687,38.8,15.5,0.217
Lake Victoria,VARX_oracle,6,0.1279,0.1015,43.6,23.2,0.321
Lake Victoria,VARX_oracle,12,0.1486,0.1277,56.4,27.0,0.403
